FileName,Condition,Length sek,Frames,Static,Dynamic,Indoor,Outdoor,Boundary,Constrained,Uneven,Road,Crowd,Slope,Single
59_A_Jackal_AHG_Library_Thu_Oct_28_1_dynamic_boundary.mkv,Day,,,0,1,0,1,1,0,0,0,0,0,0
60_A_Jackal_AHG_Library_Thu_Oct_28_1_dynamic_long.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
61_A_Jackal_AHG_Library_Thu_Oct_28_1_dynamic_wide.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
62_A_Jackal_AHG_Library_Thu_Oct_28_2_dynamic_boundary.mkv,Day,, ,0,1,0,1,1,0,0,0,0,0,0
63_A_Jackal_Greg_GDC_Sat_Nov_13_95_dynamic.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
64_A_Jackal_Library_AHG_Fri_Oct_29_8_dynamic_boundary.mkv,Day,,,0,1,0,1,1,0,0,0,0,0,0
65_A_Jackal_Library_AHG_Fri_Oct_29_8_dynamic_outdoor.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
66_A_Jackal_Library_AHG_Fri_Oct_29_8_dynamic_outside.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
67_A_Jackal_Library_AHG_Thu_Oct_28_3_boundary.mkv,Day,,,0,1,0,1,1,0,0,0,0,0,0
68_A_Jackal_Library_AHG_Thu_Oct_28_3_dynamic_2.mkv,Day,, ,0,1,0,1,0,0,0,0,0,0,0
69_A_Jackal_Library_AHG_Thu_Oct_28_3_dynamic_narrow.mkv,Day,,,0,1,0,1,1,1,0,0,0,0,0
70_A_Jackal_Library_AHG_Thu_Oct_28_3_dynamic.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
71_A_Jackal_Library_AHG_Thu_Oct_28_4_dynamic_boundary.mkv,Day,,,0,1,0,1,1,0,0,0,0,0,0
72_A_Jackal_Library_AHG_Thu_Oct_28_4_dynamic.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
73_A_Jackal_Library_Fountain_Thu_Oct_28_5_dynamic_outdoor.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
74_A_Jackal_Library_Fountain_Thu_Oct_28_5_dynamic_path_2.mkv,Day,,,0,1,0,1,1,1,0,0,0,0,0
75_A_Jackal_Library_Fountain_Thu_Oct_28_5_dynamic_path.mkv,Day,,,0,1,0,1,1,1,0,0,0,0,0
76_A_Jackal_SAC_GDC_Fri_Oct_29_14_dynamic.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
77_A_Jackal_SAC_SACindoor_Fri_Oct_29_15_indoor_dynamic.mkv,Day,,,0,1,1,0,0,0,0,0,0,0,0
78_A_Jackal_Sanjac_Rec_Sat_Nov_13_91_dynamic.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
79_A_Spot_AHG_AHG_Mon_Nov_8_27_static_outside.mkv,Day,,,1,0,0,1,0,0,0,0,0,0,0
80_A_Spot_Ahg_EERC_Thu_Nov_11_79_dynamic_path.mkv,Day,,,0,1,0,1,1,1,0,0,0,0,0
81_A_Spot_AHG_GDC_Tue_Nov_9_41_dynamic_indoor_boundary.mkv,Day,,,0,1,1,0,1,0,0,0,0,0,0
82_A_Spot_AHG_GDC_Tue_Nov_9_41_dynamic_indoor.mkv,Day,,,0,1,1,0,0,0,0,0,0,0,0
83_A_Spot_AHG_GDC_Tue_Nov_9_41_dynamic.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
84_A_Spot_AHG_GDC_Tue_Nov_9_41_static_boundary.mkv,Day,,,1,0,0,1,1,0,0,0,0,0,0
85_A_Spot_AHG_Library_Fri_Nov_5_21_dynamic.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
86_A_Spot_AHG_Library_Wed_Nov_10_46_dynamic_outside.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
87_A_Spot_Ballstructure_UTTower_Wed_Nov_10_60_dynamic_boundary.mkv,Day,,,0,1,0,1,1,0,0,0,0,0,0
88_A_Spot_Ballstructure_UTTower_Wed_Nov_10_60_dynamic_outside.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
89_A_Spot_Butler_LBJ_Sat_Nov_13_104_dynamic_path.mkv,Day,,,0,1,0,1,1,1,0,0,0,0,0
90_A_Spot_Dobie_Dobie_Thu_Nov_11_73_indoor_dynamic.mkv,Day,,,0,1,1,0,0,0,0,0,0,0,0
91_A_Spot_Dobie_Fountain_Fri_Nov_12_84_dynamic_path.mkv,Day,,,0,1,0,1,1,1,0,0,0,0,0
92_A_Spot_Dobie_Littlefield_Wed_Nov_10_58_narrow_dynamic_path.mkv,Day,,,0,1,0,1,1,0,0,0,0,0,0
93_A_Spot_EER_AHG_Mon_Nov_8_32_dynamic_boundary.mkv,Day,,,0,1,0,1,1,0,0,0,0,0,0
94_A_Spot_EER_AHG_Mon_Nov_8_32_dynamic.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
95_A_Spot_EERC_Ahg_Thu_Nov_11_80_dynamic_path.mkv,Day,,,0,1,0,1,1,1,0,0,0,0,0
96_A_Spot_Fountain_Library_Mon_Nov_8_26_dynamic_path.mkv,Day,,,0,1,0,1,1,1,0,0,0,0,0
97_A_Spot_GeorgeWashington_Mccombs_Wed_Nov_10_59_dynamic_path.mkv,Day,,,0,1,0,1,1,1,0,0,0,0,0
98_A_Spot_JCL_JCL_Wed_Nov_10_66_indoor_dynamic.mkv,Day,,,0,1,1,0,0,0,0,0,0,0,0
99_A_Spot_Jester_Jester_Wed_Nov_10_63_dynamic_inside.mkv,Day,,,0,1,1,0,0,0,0,0,0,0,0
100_A_Spot_Jester_Jester_Wed_Nov_10_64_dynamic_inside.mkv,Day,,,0,1,1,0,0,0,0,0,0,0,0
101_A_Spot_LBJ_Stadium_Sat_Nov_13_105_dynamic_path_wide.mkv,Day,,,0,1,0,1,1,1,0,0,0,0,0
102_A_Spot_LBJ_Stadium_Sat_Nov_13_105_dynamic_uneven.mkv,Day,,,0,1,0,1,0,0,1,0,0,0,0
103_A_Spot_Lbj_Thompson_Sat_Nov_13_99_dynamic_uneven.mkv,Day,,,0,1,0,1,0,0,1,0,0,0,0
104_A_Spot_Library_AHG_Fri_Nov_12_86_dynamic_outside.mkv,Day,,,0,1,0,1,0,0,0,0,0,0,0
105_A_Spot_Library_MLK_Thu_Nov_18_122_inside_dynamic.mkv,Day,,,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,0,0,0
 ,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,0,0,0
,,,,,,,,,,,,0,0,0
